Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,60.990002,63.240002,60.810001,63.080002,62.044483,9661400
2022-10-04,63.799999,65.830002,63.799999,65.690002,64.611641,9892600
2022-10-05,65.339996,67.190002,64.980003,66.639999,65.546043,9201600
2022-10-06,66.330002,66.809998,65.220001,65.300003,64.228035,6992000
2022-10-07,64.489998,64.620003,62.740002,63.290001,62.251034,7137900
2022-10-10,63.610001,63.900002,62.020000,62.570000,61.542854,6407200
2022-10-11,61.849998,63.099998,61.650002,62.410000,61.701035,7376900
2022-10-12,62.619999,64.279999,62.169998,63.779999,63.055470,9008600
2022-10-13,62.480000,65.709999,62.270000,65.199997,64.459343,10147100
2022-10-14,65.720001,66.610001,64.209999,64.309998,63.579453,8044500
2022-10-17,65.879997,67.570000,65.870003,67.019997,66.258667,11368300
2022-10-18,68.000000,68.580002,66.330002,67.029999,66.268555,6688600
2022-10-19,66.489998,67.190002,65.779999,66.300003,65.546852,5506000
2022-10-20,67.529999,69.919998,67.190002,69.250000,68.463333,17600500
2022-10-21,71.029999,72.790001,70.309998,72.699997,71.874146,15652600
2022-10-24,72.930000,73.690002,71.779999,72.919998,72.091644,11489400
2022-10-25,73.449997,74.110001,72.610001,73.139999,72.309143,9137700
2022-10-26,72.610001,75.720001,72.550003,74.820000,73.970062,10693600
2022-10-27,74.750000,75.879997,74.550003,75.150002,74.296318,7053000
2022-10-28,75.300003,77.680000,75.300003,77.360001,76.481209,8758100
2022-10-31,76.500000,78.330002,76.400002,78.070000,77.183136,12349000
2022-11-01,78.599998,79.230003,76.339996,77.110001,76.234047,7753000
2022-11-02,76.650002,77.430000,75.010002,75.120003,74.266663,7524300
2022-11-03,74.720001,75.690002,74.050003,75.029999,74.177673,6761200
2022-11-04,75.940002,76.669998,74.239998,76.000000,75.136658,7219000
2022-11-07,76.110001,77.089996,75.489998,76.739998,75.868248,5394300
2022-11-08,76.949997,77.139999,75.019997,75.639999,74.780746,9104200
2022-11-09,75.379997,76.540001,75.000000,75.660004,74.800522,6013700
2022-11-10,77.699997,78.470001,76.709999,77.169998,76.293365,10437300
2022-11-11,77.129997,77.889999,76.570000,77.739998,76.856888,7712900
2022-11-14,77.480003,79.540001,77.330002,78.529999,77.637917,7153000
2022-11-15,78.930000,80.680000,78.010002,79.180000,78.280533,7618500
2022-11-16,79.120003,80.230003,78.860001,79.889999,78.982460,6011900
2022-11-17,79.169998,79.580002,78.190002,79.199997,78.300301,5717300
2022-11-18,80.000000,80.459999,78.849998,79.730003,78.824287,6107000
2022-11-21,79.570000,80.099998,78.900002,79.820000,78.913254,5235400
2022-11-22,79.889999,82.209999,79.830002,82.120003,81.187134,8796200
2022-11-23,82.120003,82.919998,81.779999,82.559998,81.622131,6347900
2022-11-25,82.849998,83.489998,82.540001,82.720001,81.780312,2754900
2022-11-28,82.110001,82.139999,81.070000,81.389999,80.465431,5112200
2022-11-29,81.330002,81.500000,80.519997,80.849998,79.931564,4928200
2022-11-30,80.470001,83.180000,80.000000,83.029999,82.086792,9610300
2022-12-01,83.050003,84.529999,82.349998,84.110001,83.154526,6127200
2022-12-02,83.199997,83.620003,82.580002,83.349998,82.403160,4798900
2022-12-05,82.410004,82.419998,79.410004,79.430000,78.527695,9102900
2022-12-06,79.349998,79.820000,78.059998,78.910004,78.013603,7656100
2022-12-07,78.669998,79.440002,78.580002,78.779999,77.885071,5105500
2022-12-08,79.129997,80.209999,78.529999,80.070000,79.160423,5918700
2022-12-09,79.650002,80.360001,79.540001,79.860001,78.952812,6850800
2022-12-12,80.309998,81.410004,79.940002,81.279999,80.356667,15807600
2022-12-13,84.940002,85.580002,79.699997,80.559998,79.644859,22812200
2022-12-14,80.809998,82.889999,80.570000,81.820000,80.890541,11183100
2022-12-15,80.790001,81.029999,79.459999,80.070000,79.160423,8196800
2022-12-16,79.959999,80.459999,79.480003,79.580002,78.675987,19200700
2022-12-19,79.919998,81.099998,79.680000,80.500000,79.585533,7738800
2022-12-20,80.500000,81.489998,80.349998,80.940002,80.020546,6390200
2022-12-21,81.349998,82.139999,80.940002,81.500000,80.574181,5932400
